# file...... output/inv_282_meter.csv
# date...... Fri Jan 19 16:25:08 2024
# user...... nathangray
# host...... (null)
# target.... meter 955
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A,measured_power_B,measured_power_C
2001-08-01 12:00:00 PDT,-10260.3768618-0.002354897367j,-10725.3773336-0.003391852398j,-10432.0451038-0.002454698575j
2001-08-01 12:00:30 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:31 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:32 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:33 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:34 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:35 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:36 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:37 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:38 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:39 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:40 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:41 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:42 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:43 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:44 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:45 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:46 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:47 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:48 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:49 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:50 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:51 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:52 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:53 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:54 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:55 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:56 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:57 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:58 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:00:59 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:00 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:01 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:02 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:03 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:04 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:05 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:06 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:07 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:08 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:09 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:10 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:11 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:12 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:13 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:14 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:15 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:16 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:17 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:18 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:19 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:20 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:21 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:22 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:23 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:24 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:25 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:26 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:27 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:28 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:29 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:30 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:31 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:32 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:33 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:34 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:35 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:36 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:37 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:38 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:39 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:40 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:41 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:42 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:43 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:44 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:45 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:46 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:47 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:48 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:49 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:50 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:51 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:52 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:53 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:54 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:55 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:56 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:57 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
2001-08-01 12:01:58 PDT,-10260.37615-6122.507636341405j,-10725.37715-6356.454253292685j,-10432.0447-6207.553146804674j
